Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Icetime_seconds,Hits,Shots_blocked,Penalties_against,Rating
https://en.khl.ru/players/10162/,2015/2016,8,16,39,29,58,145,79260,56.0,56.0,4.0,147.65
https://en.khl.ru/players/10176/,2016/2017,9,18,49,15,12,155,62030,43.0,75.0,6.0,241.72
https://en.khl.ru/players/10176/,2018/2019,6,10,28,10,8,93,47840,36.0,53.0,9.0,152.75
https://en.khl.ru/players/10176/,2019/2020,4,8,29,18,8,58,41674,31.0,49.0,7.0,110.69
https://en.khl.ru/players/10546/,2015/2016,3,16,24,17,42,76,64465,43.0,42.0,12.0,127.47
https://en.khl.ru/players/10546/,2016/2017,6,6,28,22,51,83,57682,37.0,62.0,5.0,80.08999999999999
https://en.khl.ru/players/10546/,2019/2020,7,28,46,32,34,108,77443,33.0,113.0,5.0,216.95999999999998
https://en.khl.ru/players/10546/,2020/2021,4,17,30,40,36,108,65014,18.0,102.0,6.0,106.47
https://en.khl.ru/players/11032/,2017/2018,0,11,28,29,24,60,62207,35.0,54.0,2.0,71.17999999999999
https://en.khl.ru/players/11034/,2014/2015,3,13,23,11,26,104,49098,50.0,19.0,6.0,126.24
https://en.khl.ru/players/11034/,2016/2017,2,20,44,24,36,159,75543,19.0,26.0,7.0,170.86
https://en.khl.ru/players/11034/,2017/2018,11,19,41,29,34,170,71367,29.0,28.0,7.0,182.94
https://en.khl.ru/players/11034/,2018/2019,8,22,53,34,22,181,78057,23.0,42.0,5.0,209.04999999999998
https://en.khl.ru/players/12800/,2017/2018,4,8,15,34,32,76,56554,17.0,53.0,2.0,25.939999999999998
https://en.khl.ru/players/12802/,2014/2015,10,17,36,29,56,178,66905,72.0,33.0,2.0,154.97
https://en.khl.ru/players/12802/,2015/2016,5,9,25,21,38,96,37501,32.0,16.0,6.0,84.76
https://en.khl.ru/players/12802/,2016/2017,12,10,26,31,46,186,53415,49.0,46.0,2.0,110.58999999999999
https://en.khl.ru/players/12802/,2017/2018,9,10,28,24,50,144,44019,82.0,38.0,5.0,122.25
https://en.khl.ru/players/12810/,2017/2018,5,28,46,39,42,83,71338,15.0,48.0,3.0,162.24
https://en.khl.ru/players/12810/,2018/2019,2,12,39,26,20,68,62710,12.0,55.0,4.0,111.91
https://en.khl.ru/players/13167/,2014/2015,8,23,49,37,19,137,74895,42.0,50.0,10.0,207.04999999999998
https://en.khl.ru/players/13167/,2015/2016,6,6,27,33,18,100,57374,57.0,46.0,1.0,72.49
https://en.khl.ru/players/13167/,2017/2018,2,12,34,16,10,54,50357,25.0,57.0,4.0,128.73
https://en.khl.ru/players/13252/,2014/2015,4,9,22,21,64,54,35705,44.0,19.0,0.0,44.65
https://en.khl.ru/players/13256/,2014/2015,3,13,31,38,18,71,65829,78.0,87.0,7.0,111.22999999999999
https://en.khl.ru/players/13332/,2015/2016,6,5,26,22,22,46,47807,17.0,38.0,3.0,64.91
https://en.khl.ru/players/13446/,2014/2015,6,8,37,27,30,76,56420,61.0,56.0,5.0,113.09
https://en.khl.ru/players/13446/,2016/2017,7,5,15,19,45,85,54332,20.0,40.0,4.0,49.19
https://en.khl.ru/players/13446/,2017/2018,5,16,37,36,28,80,61823,25.0,46.0,4.0,111.74
