Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Icetime_seconds,Hits,Shots_blocked,Penalties_against,Rating,T1_Profile,T1_Year,T1_Goals,T1_Assists,T1_Plus,T1_Minus,T1_Penalties,T1_Shots,T1_Icetime_seconds,T1_Hits,T1_Shots_blocked,T1_Penalties_against,T1_Rating,predict
https://en.khl.ru/players/10162/,2014/2015,1,6,27,37,54,64,57619,21.0,30.0,4.0,12.619999999999997,https://en.khl.ru/players/10162/,2015/2016,8.0,16.0,39.0,29.0,58.0,145.0,79260.0,56.0,56.0,4.0,147.65,106.75984588174829
https://en.khl.ru/players/10162/,2015/2016,8,16,39,29,58,145,79260,56.0,56.0,4.0,147.65,https://en.khl.ru/players/10162/,2016/2017,2.0,7.0,34.0,34.0,40.0,113.0,75944.0,41.0,48.0,4.0,69.55999999999999,110.56589352833672
https://en.khl.ru/players/10162/,2016/2017,2,7,34,34,40,113,75944,41.0,48.0,4.0,69.55999999999999,https://en.khl.ru/players/10162/,2017/2018,0.0,6.0,19.0,27.0,44.0,57.0,56868.0,18.0,48.0,2.0,17.25,78.74838351732573
https://en.khl.ru/players/10162/,2017/2018,0,6,19,27,44,57,56868,18.0,48.0,2.0,17.25,https://en.khl.ru/players/10162/,2019/2020,1.0,7.0,8.0,17.0,18.0,37.0,28232.0,5.0,20.0,1.0,19.490000000000002,76.76921597474785
https://en.khl.ru/players/10176/,2014/2015,3,5,36,10,12,49,37117,58.0,43.0,5.0,125.39999999999999,https://en.khl.ru/players/10176/,2015/2016,3.0,7.0,25.0,24.0,12.0,70.0,47180.0,37.0,65.0,7.0,88.78,116.95320415441071
https://en.khl.ru/players/10176/,2015/2016,3,7,25,24,12,70,47180,37.0,65.0,7.0,88.78,https://en.khl.ru/players/10176/,2016/2017,9.0,18.0,49.0,15.0,12.0,155.0,62030.0,43.0,75.0,6.0,241.72,148.8157445582508
https://en.khl.ru/players/10176/,2016/2017,9,18,49,15,12,155,62030,43.0,75.0,6.0,241.72,https://en.khl.ru/players/10176/,2017/2018,2.0,5.0,17.0,6.0,2.0,64.0,23444.0,19.0,20.0,3.0,78.8,141.97999739669442
https://en.khl.ru/players/10176/,2017/2018,2,5,17,6,2,64,23444,19.0,20.0,3.0,78.8,https://en.khl.ru/players/10176/,2018/2019,6.0,10.0,28.0,10.0,8.0,93.0,47840.0,36.0,53.0,9.0,152.75,130.56280602452796
https://en.khl.ru/players/10176/,2018/2019,6,10,28,10,8,93,47840,36.0,53.0,9.0,152.75,https://en.khl.ru/players/10176/,2019/2020,4.0,8.0,29.0,18.0,8.0,58.0,41674.0,31.0,49.0,7.0,110.69,129.80169049227672
https://en.khl.ru/players/10176/,2019/2020,4,8,29,18,8,58,41674,31.0,49.0,7.0,110.69,https://en.khl.ru/players/10176/,2020/2021,2.0,6.0,23.0,19.0,8.0,58.0,35664.0,29.0,54.0,1.0,71.55,109.71552208918379
https://en.khl.ru/players/10176/,2020/2021,2,6,23,19,8,58,35664,29.0,54.0,1.0,71.55,https://en.khl.ru/players/10176/,2021/2022,2.0,5.0,24.0,14.0,4.0,32.0,21529.0,7.0,58.0,2.0,72.86,101.70813977636271
