Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Icetime_seconds,Hits,Shots_blocked,Penalties_against,Rating
https://en.khl.ru/players/10769/,2014/2015,13,23,30,42,47,151,51317,136.0,16.0,26.0,239
https://en.khl.ru/players/10769/,2015/2016,20,20,32,28,40,155,50002,111.0,14.0,9.0,284
https://en.khl.ru/players/10769/,2016/2017,16,18,26,17,49,123,50416,88.0,20.0,10.0,241
https://en.khl.ru/players/10769/,2017/2018,3,10,13,16,16,43,22301,40.0,12.0,1.0,76
https://en.khl.ru/players/10769/,2018/2019,14,14,28,26,28,104,49396,73.0,15.0,15.0,202
https://en.khl.ru/players/10769/,2019/2020,17,17,33,50,34,122,61315,84.0,27.0,6.0,200
https://en.khl.ru/players/10769/,2020/2021,2,8,9,18,6,35,21689,17.0,16.0,2.0,47
https://en.khl.ru/players/10900/,2014/2015,11,28,37,33,34,87,55837,23.0,14.0,19.0,227
https://en.khl.ru/players/10900/,2015/2016,13,18,35,39,30,103,62099,30.0,30.0,6.0,195
https://en.khl.ru/players/10900/,2016/2017,3,10,15,26,14,65,45067,22.0,24.0,7.0,72
https://en.khl.ru/players/119/,2014/2015,6,17,16,16,40,85,39430,47.0,18.0,16.0,142
https://en.khl.ru/players/119/,2015/2016,10,16,20,28,40,127,58079,35.0,14.0,23.0,161
https://en.khl.ru/players/119/,2016/2017,8,21,25,21,22,83,49024,37.0,15.0,8.0,178
https://en.khl.ru/players/120/,2014/2015,10,17,36,34,34,103,62645,55.0,26.0,14.0,189
https://en.khl.ru/players/120/,2015/2016,12,20,37,31,22,111,63687,40.0,34.0,13.0,233
https://en.khl.ru/players/120/,2016/2017,5,13,20,15,18,68,48879,9.0,25.0,12.0,133
https://en.khl.ru/players/120/,2017/2018,5,10,16,13,8,39,26949,8.0,18.0,2.0,100
https://en.khl.ru/players/125/,2014/2015,17,25,37,32,47,89,58340,63.0,10.0,23.0,255
https://en.khl.ru/players/125/,2015/2016,13,23,39,32,29,132,65846,41.0,10.0,29.0,258
https://en.khl.ru/players/125/,2016/2017,12,23,27,16,18,113,58809,32.0,9.0,23.0,246
https://en.khl.ru/players/125/,2017/2018,11,23,36,26,16,122,55124,41.0,8.0,26.0,255
https://en.khl.ru/players/125/,2018/2019,11,12,18,17,16,69,43186,49.0,8.0,8.0,149
https://en.khl.ru/players/125/,2019/2020,5,11,16,23,12,59,34514,29.0,5.0,16.0,97
https://en.khl.ru/players/12812/,2014/2015,3,6,13,10,28,33,25203,77.0,21.0,6.0,78
https://en.khl.ru/players/12812/,2015/2016,3,1,5,3,30,21,21293,43.0,20.0,5.0,37
https://en.khl.ru/players/12812/,2016/2017,7,8,23,27,34,87,50540,31.0,35.0,11.0,111
https://en.khl.ru/players/12812/,2017/2018,5,7,12,15,18,66,36312,52.0,22.0,10.0,94
https://en.khl.ru/players/13031/,2014/2015,12,12,30,22,30,136,62963,76.0,20.0,14.0,214
https://en.khl.ru/players/13031/,2015/2016,13,14,26,27,32,120,61185,27.0,23.0,10.0,176
https://en.khl.ru/players/13031/,2016/2017,11,5,17,23,41,88,46894,19.0,16.0,10.0,96
https://en.khl.ru/players/13031/,2017/2018,2,1,8,23,8,55,32032,10.0,15.0,16.0,23
https://en.khl.ru/players/13121/,2014/2015,16,10,26,38,90,164,54996,42.0,10.0,27.0,157
https://en.khl.ru/players/13121/,2015/2016,15,13,26,38,34,178,56234,30.0,13.0,18.0,194
https://en.khl.ru/players/13121/,2016/2017,20,29,46,36,50,185,63409,28.0,13.0,12.0,326
https://en.khl.ru/players/13121/,2017/2018,16,20,25,33,54,133,48613,17.0,11.0,17.0,201
https://en.khl.ru/players/13121/,2019/2020,9,2,17,14,30,68,27160,7.0,13.0,7.0,89
https://en.khl.ru/players/13131/,2014/2015,10,11,23,29,14,83,43354,45.0,11.0,11.0,139
https://en.khl.ru/players/13131/,2015/2016,8,9,25,17,21,103,35277,23.0,8.0,9.0,140
https://en.khl.ru/players/13131/,2016/2017,6,6,12,17,12,100,43947,15.0,10.0,4.0,92
