Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Hits,Shots_blocked,Penalties_against,R
https://en.khl.ru/players/10769/,2014/2015,13,22,29,35,47,144,123.0,15.0,25.0,3.0051748862148515
https://en.khl.ru/players/10769/,2015/2016,20,20,32,26,40,146,98.0,14.0,9.0,3.640760975188408
https://en.khl.ru/players/10769/,2016/2017,16,18,26,17,49,123,88.0,20.0,10.0,2.868137099333545
https://en.khl.ru/players/10769/,2017/2018,3,10,13,16,16,43,40.0,12.0,1.0,2.0447513564414153
https://en.khl.ru/players/10769/,2018/2019,14,14,28,26,28,104,73.0,15.0,15.0,2.4536399708478416
https://en.khl.ru/players/10769/,2019/2020,17,17,33,50,34,122,84.0,27.0,6.0,1.957106743863655
https://en.khl.ru/players/10769/,2020/2021,2,8,9,18,6,35,17.0,16.0,2.0,1.3001982571810595
https://en.khl.ru/players/10900/,2014/2015,11,24,32,30,34,83,20.0,11.0,18.0,2.2886786695148
https://en.khl.ru/players/10900/,2015/2016,12,14,23,30,20,85,16.0,22.0,3.0,1.9799858572438767
https://en.khl.ru/players/10900/,2016/2017,3,10,15,25,14,63,22.0,23.0,7.0,0.9914396529961214
https://en.khl.ru/players/119/,2014/2015,6,16,16,16,38,81,44.0,16.0,16.0,2.1590728687093192
https://en.khl.ru/players/119/,2015/2016,7,14,14,18,20,101,24.0,9.0,20.0,1.7723186773487474
https://en.khl.ru/players/119/,2016/2017,8,21,25,20,22,77,33.0,15.0,8.0,2.324518445968005
https://en.khl.ru/players/120/,2014/2015,10,17,35,28,34,101,51.0,26.0,13.0,1.992280335080652
https://en.khl.ru/players/120/,2015/2016,12,20,37,28,18,106,38.0,32.0,12.0,2.389349172333496
https://en.khl.ru/players/120/,2016/2017,5,13,20,15,18,68,9.0,25.0,12.0,1.6326029583256612
https://en.khl.ru/players/120/,2017/2018,5,10,16,13,8,39,8.0,18.0,2.0,2.2264276967605476
https://en.khl.ru/players/125/,2014/2015,16,25,36,27,45,82,57.0,10.0,21.0,2.774731300723843
https://en.khl.ru/players/125/,2015/2016,13,23,39,29,29,120,39.0,9.0,26.0,2.5029331247555726
https://en.khl.ru/players/125/,2016/2017,12,23,27,16,18,113,32.0,9.0,23.0,2.509819925521604
https://en.khl.ru/players/125/,2017/2018,11,21,34,25,16,106,40.0,5.0,25.0,2.841653398899615
https://en.khl.ru/players/125/,2018/2019,10,11,18,16,14,61,48.0,8.0,8.0,2.098740755546672
https://en.khl.ru/players/125/,2019/2020,5,9,14,18,8,50,24.0,5.0,14.0,1.774622892635315
https://en.khl.ru/players/12812/,2014/2015,2,6,11,9,24,28,58.0,12.0,6.0,1.912125803249569
