Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Hits,Shots_blocked,Penalties_against,R,T1_Profile,T1_Year,T1_Goals,T1_Assists,T1_Plus,T1_Minus,T1_Penalties,T1_Shots,T1_Hits,T1_Shots_blocked,T1_Penalties_against,T1_R,predict
https://en.khl.ru/players/10769/,2014/2015,13,22,29,35,47,144,123.0,15.0,25.0,3.0051748862148515,https://en.khl.ru/players/10769/,2015/2016,20.0,20.0,32.0,26.0,40.0,146.0,98.0,14.0,9.0,3.640760975188408,2.732986471135596
https://en.khl.ru/players/10769/,2015/2016,20,20,32,26,40,146,98.0,14.0,9.0,3.640760975188408,https://en.khl.ru/players/10769/,2016/2017,16.0,18.0,26.0,17.0,49.0,123.0,88.0,20.0,10.0,2.868137099333545,2.6480364924288677
https://en.khl.ru/players/10769/,2016/2017,16,18,26,17,49,123,88.0,20.0,10.0,2.868137099333545,https://en.khl.ru/players/10769/,2017/2018,3.0,10.0,13.0,16.0,16.0,43.0,40.0,12.0,1.0,2.0447513564414157,1.9386813508855978
https://en.khl.ru/players/10769/,2017/2018,3,10,13,16,16,43,40.0,12.0,1.0,2.0447513564414157,https://en.khl.ru/players/10769/,2018/2019,14.0,14.0,28.0,26.0,28.0,104.0,73.0,15.0,15.0,2.4536399708478416,2.0993612566275117
https://en.khl.ru/players/10769/,2018/2019,14,14,28,26,28,104,73.0,15.0,15.0,2.4536399708478416,https://en.khl.ru/players/10769/,2019/2020,17.0,17.0,33.0,50.0,34.0,122.0,84.0,27.0,6.0,1.957106743863655,1.9201395138362023
https://en.khl.ru/players/10769/,2019/2020,17,17,33,50,34,122,84.0,27.0,6.0,1.957106743863655,https://en.khl.ru/players/10769/,2020/2021,2.0,8.0,9.0,18.0,6.0,35.0,17.0,16.0,2.0,1.3001982571810595,1.5215708827111307
https://en.khl.ru/players/10900/,2014/2015,11,24,32,30,34,83,20.0,11.0,18.0,2.2886786695148,https://en.khl.ru/players/10900/,2015/2016,12.0,14.0,23.0,30.0,20.0,85.0,16.0,22.0,3.0,1.9799858572438769,1.7569847781930756
https://en.khl.ru/players/10900/,2015/2016,12,14,23,30,20,85,16.0,22.0,3.0,1.9799858572438769,https://en.khl.ru/players/10900/,2016/2017,3.0,10.0,15.0,25.0,14.0,63.0,22.0,23.0,7.0,0.9914396529961214,1.4829066253323688
https://en.khl.ru/players/119/,2014/2015,6,16,16,16,38,81,44.0,16.0,16.0,2.1590728687093192,https://en.khl.ru/players/119/,2015/2016,7.0,14.0,14.0,18.0,20.0,101.0,24.0,9.0,20.0,1.7723186773487474,2.0905826630503954
https://en.khl.ru/players/119/,2015/2016,7,14,14,18,20,101,24.0,9.0,20.0,1.7723186773487474,https://en.khl.ru/players/119/,2016/2017,8.0,21.0,25.0,20.0,22.0,77.0,33.0,15.0,8.0,2.324518445968005,1.9173998309941114
https://en.khl.ru/players/120/,2014/2015,10,17,35,28,34,101,51.0,26.0,13.0,1.992280335080652,https://en.khl.ru/players/120/,2015/2016,12.0,20.0,37.0,28.0,18.0,106.0,38.0,32.0,12.0,2.389349172333496,2.08441876494806
https://en.khl.ru/players/120/,2015/2016,12,20,37,28,18,106,38.0,32.0,12.0,2.389349172333496,https://en.khl.ru/players/120/,2016/2017,5.0,13.0,20.0,15.0,18.0,68.0,9.0,25.0,12.0,1.6326029583256612,1.925844939166793
